,date
22829,2017-09-27
22830,2017-09-27
22831,2017-09-27
22832,2017-09-27
22833,2017-09-27
22834,2017-09-27
22835,2017-09-27
22836,2017-09-27
22837,2017-09-27
22899,2017-09-27
22900,2017-09-27
22901,2017-09-27
22902,2017-09-27
22903,2017-09-27
22904,2017-09-27
22905,2017-09-27
22906,2017-09-27
22907,2017-09-27
22908,2017-09-27
22909,2017-09-27
22910,2017-09-27
22911,2017-09-27
22912,2017-09-27
22913,2017-09-27
22914,2017-09-27
22915,2017-09-27
22916,2017-09-27
22917,2017-09-27
22918,2017-09-27
22980,2017-09-27
22981,2017-09-27
22982,2017-09-27
22983,2017-09-27
22984,2017-09-27
22985,2017-09-27
22986,2017-09-27
22987,2017-09-27
22988,2017-09-27
22989,2017-09-27
22990,2017-09-27
22991,2017-09-27
22992,2017-09-27
22993,2017-09-27
22994,2017-09-27
22995,2017-09-27
22996,2017-09-27
22997,2017-09-27
22998,2017-09-27
22999,2017-09-27
23061,2017-09-28
23062,2017-09-28
23063,2017-09-28
23064,2017-09-28
23065,2017-09-28
23066,2017-09-28
23067,2017-09-28
23068,2017-09-28
23069,2017-09-28
23070,2017-09-28
23071,2017-09-28
23072,2017-09-28
23073,2017-09-28
23074,2017-09-28
23075,2017-09-28
23076,2017-09-28
23077,2017-09-28
23078,2017-09-28
23079,2017-09-28
23080,2017-09-28
23142,2017-09-28
23143,2017-09-28
23144,2017-09-28
23145,2017-09-28
23146,2017-09-28
23147,2017-09-28
23148,2017-09-28
23149,2017-09-28
23150,2017-09-28
23151,2017-09-28
23152,2017-09-28
23153,2017-09-28
23154,2017-09-28
23155,2017-09-28
23156,2017-09-28
23157,2017-09-28
23158,2017-09-28
23159,2017-09-28
23160,2017-09-28
23161,2017-09-28
23223,2017-09-28
23224,2017-09-28
23225,2017-09-28
23226,2017-09-28
23227,2017-09-28
23228,2017-09-28
23229,2017-09-28
23230,2017-09-28
23231,2017-09-28
23232,2017-09-28
23233,2017-09-28
23234,2017-09-28
23235,2017-09-28
23236,2017-09-28
23237,2017-09-28
23238,2017-09-28
23239,2017-09-28
23240,2017-09-28
23241,2017-09-28
23242,2017-09-28
23304,2017-09-28
23305,2017-09-28
23306,2017-09-28
23307,2017-09-28
23308,2017-09-28
23309,2017-09-28
23310,2017-09-28
23311,2017-09-28
23312,2017-09-28
23313,2017-09-28
23314,2017-09-28
23315,2017-09-28
23316,2017-09-28
23317,2017-09-28
23318,2017-09-28
23319,2017-09-28
23320,2017-09-28
23321,2017-09-28
23322,2017-09-28
23323,2017-09-28
23385,2017-09-28
23386,2017-09-28
23387,2017-09-28
23388,2017-09-28
23389,2017-09-28
23390,2017-09-28
23391,2017-09-28
23392,2017-09-28
23393,2017-09-28
23394,2017-09-28
23395,2017-09-28
23396,2017-09-28
23397,2017-09-28
23398,2017-09-28
23399,2017-09-28
23400,2017-09-28
23401,2017-09-28
23402,2017-09-28
23403,2017-09-28
23404,2017-09-28
23466,2017-09-28
23467,2017-09-28
23468,2017-09-28
23469,2017-09-28
23470,2017-09-28
23471,2017-09-28
23472,2017-09-28
23473,2017-09-28
23474,2017-09-28
23475,2017-09-28
23476,2017-09-28
23477,2017-09-28
23478,2017-09-28
23479,2017-09-28
23480,2017-09-28
23481,2017-09-28
23482,2017-09-28
23483,2017-09-28
23484,2017-09-28
23485,2017-09-28
23547,2017-09-28
23548,2017-09-28
23549,2017-09-28
23550,2017-09-28
23551,2017-09-28
23552,2017-09-28
23553,2017-09-28
23554,2017-09-28
23555,2017-09-28
23556,2017-09-28
23557,2017-09-28
23558,2017-09-28
23559,2017-09-28
23560,2017-09-28
23561,2017-09-28
23562,2017-09-28
23563,2017-09-28
23564,2017-09-28
23565,2017-09-28
23566,2017-09-28
23628,2017-09-28
23629,2017-09-28
23630,2017-09-28
23631,2017-09-28
23632,2017-09-28
23633,2017-09-28
23634,2017-09-28
23635,2017-09-28
23636,2017-09-28
23637,2017-09-28
23638,2017-09-28
23639,2017-09-28
23640,2017-09-28
23641,2017-09-28
23642,2017-09-28
23643,2017-09-28
23644,2017-09-28
23645,2017-09-28
23646,2017-09-28
23647,2017-09-28
23709,2017-09-28
23710,2017-09-28
23711,2017-09-28
23712,2017-09-28
23713,2017-09-28
23714,2017-09-28
23715,2017-09-28
23716,2017-09-28
23717,2017-09-28
23718,2017-09-28
23719,2017-09-28
23720,2017-09-28
23721,2017-09-28
23722,2017-09-28
23723,2017-09-28
23724,2017-09-28
23725,2017-09-28
23726,2017-09-28
23727,2017-09-28
23728,2017-09-28
23790,2017-09-28
23791,2017-09-28
23792,2017-09-28
23793,2017-09-28
23794,2017-09-28
23795,2017-09-28
23796,2017-09-28
23797,2017-09-28
23798,2017-09-28
23799,2017-09-28
23800,2017-09-28
23801,2017-09-28
23802,2017-09-28
23803,2017-09-28
23804,2017-09-28
23805,2017-09-28
23806,2017-09-28
23807,2017-09-28
23808,2017-09-28
23809,2017-09-28
23871,2017-09-28
23872,2017-09-28
23873,2017-09-28
23874,2017-09-28
23875,2017-09-28
23876,2017-09-28
23877,2017-09-28
23878,2017-09-28
23879,2017-09-28
23880,2017-09-28
23881,2017-09-28
23882,2017-09-28
23883,2017-09-28
23884,2017-09-28
23885,2017-09-28
23886,2017-09-28
23887,2017-09-28
23888,2017-09-28
23889,2017-09-28
23890,2017-09-28
23952,2017-09-28
23953,2017-09-28
23954,2017-09-28
23955,2017-09-28
23956,2017-09-28
23957,2017-09-28
23958,2017-09-28
23959,2017-09-28
23960,2017-09-28
23961,2017-09-28
23962,2017-09-28
23963,2017-09-28
23964,2017-09-28
23965,2017-09-28
23966,2017-09-28
23967,2017-09-28
23968,2017-09-28
23969,2017-09-28
23970,2017-09-28
23971,2017-09-28
24033,2017-09-28
24034,2017-09-28
24035,2017-09-28
24036,2017-09-28
24037,2017-09-28
24038,2017-09-28
24039,2017-09-28
24040,2017-09-28
24041,2017-09-28
24042,2017-09-28
24043,2017-09-28
24044,2017-09-28
24045,2017-09-28
24046,2017-09-28
24047,2017-09-28
24048,2017-09-28
24049,2017-09-28
24050,2017-09-28
24051,2017-09-28
24052,2017-09-28
24114,2017-09-28
24115,2017-09-28
24116,2017-09-28
24117,2017-09-28
24118,2017-09-28
24119,2017-09-28
24120,2017-09-28
24121,2017-09-28
24122,2017-09-28
24123,2017-09-28
24124,2017-09-28
24125,2017-09-28
24126,2017-09-28
24127,2017-09-28
24128,2017-09-28
24129,2017-09-28
24130,2017-09-28
24131,2017-09-28
24132,2017-09-28
24133,2017-09-28
24195,2017-09-28
24196,2017-09-28
24197,2017-09-28
24198,2017-09-28
24199,2017-09-28
24200,2017-09-28
24201,2017-09-28
24202,2017-09-28
24203,2017-09-28
24204,2017-09-28
24205,2017-09-28
24206,2017-09-28
24207,2017-09-28
24208,2017-09-28
24209,2017-09-28
24210,2017-09-28
24211,2017-09-28
24212,2017-09-28
24213,2017-09-28
24214,2017-09-28
20,2017-09-29
101,2017-09-29
182,2017-09-29
263,2017-09-29
343,2017-09-29
424,2017-09-29
505,2017-09-29
586,2017-09-29
667,2017-09-29
747,2017-09-29
828,2017-09-29
909,2017-09-29
990,2017-09-29
1071,2017-09-29
1152,2017-09-29
1233,2017-09-29
1314,2017-09-29
1395,2017-09-29
1476,2017-09-29
1557,2017-09-29
1638,2017-09-29
1719,2017-09-29
1799,2017-09-29
1880,2017-09-29
1961,2017-09-29
2042,2017-09-29
2123,2017-09-29
2204,2017-09-29
2285,2017-09-29
2366,2017-09-29
2447,2017-09-29
2528,2017-09-29
2609,2017-09-29
2689,2017-09-29
2770,2017-09-29
2851,2017-09-29
2932,2017-09-29
3013,2017-09-29
3094,2017-09-29
3175,2017-09-29
3256,2017-09-29
3337,2017-09-29
3417,2017-09-29
3498,2017-09-29
3579,2017-09-29
3660,2017-09-29
3741,2017-09-29
3822,2017-09-29
3902,2017-09-29
3983,2017-09-29
4064,2017-09-29
4145,2017-09-29
4226,2017-09-29
4306,2017-09-29
4387,2017-09-29
4468,2017-09-29
4549,2017-09-29
4630,2017-09-29
4711,2017-09-29
4792,2017-09-29
4873,2017-09-29
4953,2017-09-29
5034,2017-09-29
5115,2017-09-29
5196,2017-09-29
5276,2017-09-29
5357,2017-09-29
5438,2017-09-29
5518,2017-09-29
5599,2017-09-29
5680,2017-09-29
5760,2017-09-29
5840,2017-09-29
5921,2017-09-29
6002,2017-09-29
6083,2017-09-29
6164,2017-09-29
6245,2017-09-29
6326,2017-09-29
6406,2017-09-29
6487,2017-09-29
6568,2017-09-29
6649,2017-09-29
6730,2017-09-29
6811,2017-09-29
6892,2017-09-29
6973,2017-09-29
7054,2017-09-29
7135,2017-09-29
7216,2017-09-29
7297,2017-09-29
7378,2017-09-29
7459,2017-09-29
7540,2017-09-29
7621,2017-09-29
7702,2017-09-29
7783,2017-09-29
7864,2017-09-29
7945,2017-09-29
8026,2017-09-29
8107,2017-09-29
8188,2017-09-29
8269,2017-09-29
8350,2017-09-29
8431,2017-09-29
8512,2017-09-29
8593,2017-09-29
8674,2017-09-29
8755,2017-09-29
8836,2017-09-29
8917,2017-09-29
8998,2017-09-29
9079,2017-09-29
9160,2017-09-29
9241,2017-09-29
9321,2017-09-29
9402,2017-09-29
9482,2017-09-29
9563,2017-09-29
9643,2017-09-29
9724,2017-09-29
9805,2017-09-29
9886,2017-09-29
9967,2017-09-29
10048,2017-09-29
10129,2017-09-29
10210,2017-09-29
10291,2017-09-29
10372,2017-09-29
10453,2017-09-29
10534,2017-09-29
10615,2017-09-29
10696,2017-09-29
10777,2017-09-29
10858,2017-09-29
10939,2017-09-29
11020,2017-09-29
11100,2017-09-29
11181,2017-09-29
11262,2017-09-29
11343,2017-09-29
11423,2017-09-29
11504,2017-09-29
11585,2017-09-29
11666,2017-09-29
11747,2017-09-29
11828,2017-09-29
11909,2017-09-29
11990,2017-09-29
12071,2017-09-29
12152,2017-09-29
12233,2017-09-29
12314,2017-09-29
12395,2017-09-29
12475,2017-09-29
12556,2017-09-29
12637,2017-09-29
12718,2017-09-29
12799,2017-09-29
12880,2017-09-29
12961,2017-09-29
13042,2017-09-29
13123,2017-09-29
13204,2017-09-29
13284,2017-09-29
13365,2017-09-29
13446,2017-09-29
13527,2017-09-29
13608,2017-09-29
13689,2017-09-29
13770,2017-09-29
13851,2017-09-29
13932,2017-09-29
14013,2017-09-29
14094,2017-09-29
14175,2017-09-29
14256,2017-09-29
14337,2017-09-29
14418,2017-09-29
14499,2017-09-29
14580,2017-09-29
14660,2017-09-29
14741,2017-09-29
14822,2017-09-29
14903,2017-09-29
14984,2017-09-29
15065,2017-09-29
15146,2017-09-29
15227,2017-09-29
15308,2017-09-29
15389,2017-09-29
15470,2017-09-29
15551,2017-09-29
15632,2017-09-29
15713,2017-09-29
15794,2017-09-29
15875,2017-09-29
15956,2017-09-29
16037,2017-09-29
16118,2017-09-29
16199,2017-09-29
16280,2017-09-29
16361,2017-09-29
16442,2017-09-29
16523,2017-09-29
16604,2017-09-29
16685,2017-09-29
16766,2017-09-29
16847,2017-09-29
16927,2017-09-29
17007,2017-09-29
17088,2017-09-29
17169,2017-09-29
17250,2017-09-29
17331,2017-09-29
17412,2017-09-29
17493,2017-09-29
17574,2017-09-29
17655,2017-09-29
17736,2017-09-29
17817,2017-09-29
17898,2017-09-29
17979,2017-09-29
18060,2017-09-29
18141,2017-09-29
18222,2017-09-29
18303,2017-09-29
18384,2017-09-29
18465,2017-09-29
18546,2017-09-29
18627,2017-09-29
18708,2017-09-29
18789,2017-09-29
18870,2017-09-29
18951,2017-09-29
19032,2017-09-29
19113,2017-09-29
19194,2017-09-29
19275,2017-09-29
19356,2017-09-29
19437,2017-09-29
19517,2017-09-29
19598,2017-09-29
19679,2017-09-29
19760,2017-09-29
19841,2017-09-29
19922,2017-09-29
20003,2017-09-29
20084,2017-09-29
20165,2017-09-29
20246,2017-09-29
20327,2017-09-29
20408,2017-09-29
20489,2017-09-29
20570,2017-09-29
20651,2017-09-29
20732,2017-09-29
20813,2017-09-29
20894,2017-09-29
20975,2017-09-29
21056,2017-09-29
21137,2017-09-29
21218,2017-09-29
21299,2017-09-29
21380,2017-09-29
21461,2017-09-29
21542,2017-09-29
21623,2017-09-29
21704,2017-09-29
21785,2017-09-29
21866,2017-09-29
21947,2017-09-29
22028,2017-09-29
22109,2017-09-29
22190,2017-09-29
22271,2017-09-29
22352,2017-09-29
22433,2017-09-29
22514,2017-09-29
22595,2017-09-29
22676,2017-09-29
22757,2017-09-29
22838,2017-09-29
22919,2017-09-29
23000,2017-09-29
23081,2017-09-29
23162,2017-09-29
23243,2017-09-29
23324,2017-09-29
23405,2017-09-29
23486,2017-09-29
23567,2017-09-29
23648,2017-09-29
23729,2017-09-29
23810,2017-09-29
23891,2017-09-29
23972,2017-09-29
24053,2017-09-29
24134,2017-09-29
24215,2017-09-29
21,2017-10-09
22,2017-10-09
23,2017-10-09
24,2017-10-09
25,2017-10-09
26,2017-10-09
27,2017-10-09
28,2017-10-09
29,2017-10-09
30,2017-10-09
31,2017-10-09
32,2017-10-09
33,2017-10-09
34,2017-10-09
35,2017-10-09
36,2017-10-09
102,2017-10-09
103,2017-10-09
104,2017-10-09
105,2017-10-09
106,2017-10-09
107,2017-10-09
108,2017-10-09
109,2017-10-09
110,2017-10-09
111,2017-10-09
112,2017-10-09
113,2017-10-09
114,2017-10-09
115,2017-10-09
116,2017-10-09
117,2017-10-09
183,2017-10-09
184,2017-10-09
185,2017-10-09
186,2017-10-09
187,2017-10-09
188,2017-10-09
189,2017-10-09
190,2017-10-09
191,2017-10-09
192,2017-10-09
193,2017-10-09
194,2017-10-09
195,2017-10-09
196,2017-10-09
197,2017-10-09
198,2017-10-09
264,2017-10-09
265,2017-10-09
266,2017-10-09
267,2017-10-09
268,2017-10-09
269,2017-10-09
270,2017-10-09
271,2017-10-09
272,2017-10-09
273,2017-10-09
274,2017-10-09
275,2017-10-09
276,2017-10-09
277,2017-10-09
278,2017-10-09
279,2017-10-09
344,2017-10-09
345,2017-10-09
346,2017-10-09
347,2017-10-09
348,2017-10-09
349,2017-10-09
350,2017-10-09
351,2017-10-09
352,2017-10-09
353,2017-10-09
354,2017-10-09
355,2017-10-09
356,2017-10-09
357,2017-10-09
358,2017-10-09
359,2017-10-09
425,2017-10-09
426,2017-10-09
427,2017-10-09
428,2017-10-09
429,2017-10-09
430,2017-10-09
431,2017-10-09
432,2017-10-09
433,2017-10-09
434,2017-10-09
435,2017-10-09
436,2017-10-09
437,2017-10-09
438,2017-10-09
439,2017-10-09
440,2017-10-09
506,2017-10-09
507,2017-10-09
508,2017-10-09
509,2017-10-09
510,2017-10-09
511,2017-10-09
512,2017-10-09
513,2017-10-09
514,2017-10-09
515,2017-10-09
516,2017-10-09
517,2017-10-09
518,2017-10-09
519,2017-10-09
520,2017-10-09
521,2017-10-09
587,2017-10-09
588,2017-10-09
589,2017-10-09
590,2017-10-09
591,2017-10-09
592,2017-10-09
593,2017-10-09
594,2017-10-09
595,2017-10-09
596,2017-10-09
597,2017-10-09
598,2017-10-09
599,2017-10-09
600,2017-10-09
601,2017-10-09
602,2017-10-09
668,2017-10-09
669,2017-10-09
670,2017-10-09
671,2017-10-09
672,2017-10-09
673,2017-10-09
674,2017-10-09
675,2017-10-09
676,2017-10-09
677,2017-10-09
678,2017-10-09
679,2017-10-09
680,2017-10-09
681,2017-10-09
682,2017-10-09
683,2017-10-09
748,2017-10-09
749,2017-10-09
750,2017-10-09
751,2017-10-09
752,2017-10-09
753,2017-10-09
754,2017-10-09
755,2017-10-09
756,2017-10-09
757,2017-10-09
758,2017-10-09
759,2017-10-09
760,2017-10-09
761,2017-10-09
762,2017-10-09
763,2017-10-09
829,2017-10-09
830,2017-10-09
831,2017-10-09
832,2017-10-09
833,2017-10-09
834,2017-10-09
835,2017-10-09
836,2017-10-09
837,2017-10-09
838,2017-10-09
839,2017-10-09
840,2017-10-09
841,2017-10-09
842,2017-10-09
843,2017-10-09
844,2017-10-09
910,2017-10-09
911,2017-10-09
912,2017-10-09
913,2017-10-09
914,2017-10-09
915,2017-10-09
916,2017-10-09
917,2017-10-09
918,2017-10-09
919,2017-10-09
920,2017-10-09
921,2017-10-09
922,2017-10-09
923,2017-10-09
924,2017-10-09
925,2017-10-09
991,2017-10-09
992,2017-10-09
993,2017-10-09
994,2017-10-09
995,2017-10-09
996,2017-10-09
997,2017-10-09
998,2017-10-09
999,2017-10-09
1000,2017-10-09
1001,2017-10-09
1002,2017-10-09
1003,2017-10-09
1004,2017-10-09
1005,2017-10-09
1006,2017-10-09
1072,2017-10-09
1073,2017-10-09
1074,2017-10-09
1075,2017-10-09
1076,2017-10-09
1077,2017-10-09
1078,2017-10-09
1079,2017-10-09
1080,2017-10-09
1081,2017-10-09
1082,2017-10-09
1083,2017-10-09
1084,2017-10-09
1085,2017-10-09
1086,2017-10-09
1087,2017-10-09
1153,2017-10-09
1154,2017-10-09
1155,2017-10-09
1156,2017-10-09
1157,2017-10-09
1158,2017-10-09
1159,2017-10-09
1160,2017-10-09
1161,2017-10-09
1162,2017-10-09
1163,2017-10-09
1164,2017-10-09
1165,2017-10-09
1166,2017-10-09
1167,2017-10-09
1168,2017-10-09
1234,2017-10-09
1235,2017-10-09
1236,2017-10-09
1237,2017-10-09
1238,2017-10-09
1239,2017-10-09
1240,2017-10-09
1241,2017-10-09
1242,2017-10-09
1243,2017-10-09
1244,2017-10-09
1245,2017-10-09
1246,2017-10-09
1247,2017-10-09
1248,2017-10-09
1249,2017-10-09
1315,2017-10-09
1316,2017-10-09
1317,2017-10-09
1318,2017-10-09
1319,2017-10-09
1320,2017-10-09
1321,2017-10-09
1322,2017-10-09
1323,2017-10-09
1324,2017-10-09
1325,2017-10-09
1326,2017-10-09
1327,2017-10-09
1328,2017-10-09
1329,2017-10-09
1330,2017-10-09
1396,2017-10-09
1397,2017-10-09
1398,2017-10-09
1399,2017-10-09
1400,2017-10-09
1401,2017-10-09
1402,2017-10-09
1403,2017-10-09
1404,2017-10-09
1405,2017-10-09
1406,2017-10-09
1407,2017-10-09
1408,2017-10-09
1409,2017-10-09
1410,2017-10-09
1411,2017-10-09
1477,2017-10-09
1478,2017-10-09
1479,2017-10-09
1480,2017-10-09
1481,2017-10-09
1482,2017-10-09
1483,2017-10-09
1484,2017-10-09
1485,2017-10-09
1486,2017-10-09
1487,2017-10-09
1488,2017-10-09
1489,2017-10-10
1490,2017-10-10
1491,2017-10-10
1492,2017-10-10
1558,2017-10-10
1559,2017-10-10
1560,2017-10-10
1561,2017-10-10
1562,2017-10-10
1563,2017-10-10
1564,2017-10-10
1565,2017-10-10
1566,2017-10-10
1567,2017-10-10
1568,2017-10-10
1569,2017-10-10
1570,2017-10-10
1571,2017-10-10
1572,2017-10-10
1573,2017-10-10
1639,2017-10-10
1640,2017-10-10
1641,2017-10-10
1642,2017-10-10
1643,2017-10-10
1644,2017-10-10
1645,2017-10-10
1646,2017-10-10
1647,2017-10-10
1648,2017-10-10
1649,2017-10-10
1650,2017-10-10
1651,2017-10-10
1652,2017-10-10
1653,2017-10-10
1654,2017-10-10
1720,2017-10-10
1721,2017-10-10
1722,2017-10-10
1723,2017-10-10
1724,2017-10-10
1725,2017-10-10
1726,2017-10-10
1727,2017-10-10
1728,2017-10-10
1729,2017-10-10
1730,2017-10-10
1731,2017-10-10
1732,2017-10-10
1733,2017-10-10
1734,2017-10-10
1735,2017-10-10
1800,2017-10-10
1801,2017-10-10
1802,2017-10-10
1803,2017-10-10
1804,2017-10-10
1805,2017-10-10
1806,2017-10-10
1807,2017-10-10
1808,2017-10-10
1809,2017-10-10
1810,2017-10-10
1811,2017-10-10
1812,2017-10-10
1813,2017-10-10
1814,2017-10-10
1815,2017-10-10
1881,2017-10-10
1882,2017-10-10
1883,2017-10-10
1884,2017-10-10
1885,2017-10-10
1886,2017-10-10
1887,2017-10-10
1888,2017-10-10
1889,2017-10-10
1890,2017-10-10
1891,2017-10-10
1892,2017-10-10
1893,2017-10-10
1894,2017-10-10
1895,2017-10-10
1896,2017-10-10
1962,2017-10-10
1963,2017-10-10
1964,2017-10-10
1965,2017-10-10
1966,2017-10-10
1967,2017-10-10
1968,2017-10-10
1969,2017-10-10
1970,2017-10-10
1971,2017-10-10
1972,2017-10-10
1973,2017-10-10
1974,2017-10-10
1975,2017-10-10
1976,2017-10-10
1977,2017-10-10
2043,2017-10-10
2044,2017-10-10
2045,2017-10-10
2046,2017-10-10
2047,2017-10-10
2048,2017-10-10
2049,2017-10-10
2050,2017-10-10
2051,2017-10-10
2052,2017-10-10
2053,2017-10-10
2054,2017-10-10
2055,2017-10-10
2056,2017-10-10
2057,2017-10-10
2058,2017-10-10
2124,2017-10-10
2125,2017-10-10
2126,2017-10-10
2127,2017-10-10
2128,2017-10-10
2129,2017-10-10
2130,2017-10-10
2131,2017-10-10
2132,2017-10-10
2133,2017-10-10
2134,2017-10-10
2135,2017-10-10
2136,2017-10-10
2137,2017-10-10
2138,2017-10-10
2139,2017-10-10
2205,2017-10-10
2206,2017-10-10
2207,2017-10-10
2208,2017-10-10
2209,2017-10-10
2210,2017-10-10
2211,2017-10-10
2212,2017-10-10
2213,2017-10-10
2214,2017-10-10
2215,2017-10-10
2216,2017-10-10
2217,2017-10-10
2218,2017-10-10
2219,2017-10-10
2220,2017-10-10
2286,2017-10-10
2287,2017-10-10
2288,2017-10-10
2289,2017-10-10
2290,2017-10-10
2291,2017-10-10
2292,2017-10-10
2293,2017-10-10
2294,2017-10-10
2295,2017-10-10
2296,2017-10-10
2297,2017-10-10
2298,2017-10-10
2299,2017-10-10
2300,2017-10-10
2301,2017-10-10
2367,2017-10-10
2368,2017-10-10
2369,2017-10-10
2370,2017-10-10
2371,2017-10-10
2372,2017-10-10
2373,2017-10-10
2374,2017-10-10
2375,2017-10-10
2376,2017-10-10
2377,2017-10-10
2378,2017-10-10
2379,2017-10-10
2380,2017-10-10
2381,2017-10-10
2382,2017-10-10
2448,2017-10-10
2449,2017-10-10
2450,2017-10-10
2451,2017-10-10
2452,2017-10-10
2453,2017-10-10
2454,2017-10-10
2455,2017-10-10
2456,2017-10-10
2457,2017-10-10
2458,2017-10-10
2459,2017-10-10
2460,2017-10-10
2461,2017-10-10
2462,2017-10-10
2463,2017-10-10
2529,2017-10-10
2530,2017-10-10
2531,2017-10-10
2532,2017-10-10
2533,2017-10-10
2534,2017-10-10
2535,2017-10-10
2536,2017-10-10
2537,2017-10-10
2538,2017-10-10
2539,2017-10-10
2540,2017-10-10
2541,2017-10-10
2542,2017-10-10
2543,2017-10-10
2544,2017-10-10
2610,2017-10-10
2611,2017-10-10
2612,2017-10-10
2613,2017-10-10
2614,2017-10-10
2615,2017-10-10
2616,2017-10-10
2617,2017-10-10
2618,2017-10-10
2619,2017-10-10
2620,2017-10-10
2621,2017-10-10
2622,2017-10-10
2623,2017-10-10
2624,2017-10-10
2625,2017-10-10
2690,2017-10-10
2691,2017-10-10
2692,2017-10-10
2693,2017-10-10
2694,2017-10-10
2695,2017-10-10
2696,2017-10-10
2697,2017-10-10
2698,2017-10-10
2699,2017-10-10
2700,2017-10-10
2701,2017-10-10
2702,2017-10-10
2703,2017-10-10
2704,2017-10-10
2705,2017-10-10
2771,2017-10-10
2772,2017-10-10
2773,2017-10-10
2774,2017-10-10
2775,2017-10-10
2776,2017-10-10
2777,2017-10-10
2778,2017-10-10
2779,2017-10-10
2780,2017-10-10
2781,2017-10-10
2782,2017-10-10
2783,2017-10-10
2784,2017-10-10
2785,2017-10-10
2786,2017-10-10
2852,2017-10-10
2853,2017-10-10
2854,2017-10-10
2855,2017-10-10
2856,2017-10-10
2857,2017-10-10
2858,2017-10-10
2859,2017-10-10
2860,2017-10-10
2861,2017-10-10
2862,2017-10-10
2863,2017-10-10
2864,2017-10-10
2865,2017-10-10
2866,2017-10-10
2867,2017-10-10
2933,2017-10-10
2934,2017-10-10
2935,2017-10-10
2936,2017-10-10
2937,2017-10-10
2938,2017-10-10
2939,2017-10-10
2940,2017-10-10
2941,2017-10-10
2942,2017-10-10
2943,2017-10-10
2944,2017-10-10
2945,2017-10-10
2946,2017-10-10
2947,2017-10-10
2948,2017-10-10
3014,2017-10-10
3015,2017-10-10
3016,2017-10-10
3017,2017-10-10
3018,2017-10-10
3019,2017-10-10
3020,2017-10-10
3021,2017-10-10
3022,2017-10-11
3023,2017-10-11
3024,2017-10-11
3025,2017-10-11
3026,2017-10-11
3027,2017-10-11
3028,2017-10-11
3029,2017-10-11
3095,2017-10-11
3096,2017-10-11
3097,2017-10-11
3098,2017-10-11
3099,2017-10-11
3100,2017-10-11
3101,2017-10-11
3102,2017-10-11
3103,2017-10-11
3104,2017-10-11
3105,2017-10-11
3106,2017-10-11
3107,2017-10-11
3108,2017-10-11
3109,2017-10-11
3110,2017-10-11
3176,2017-10-11
3177,2017-10-11
3178,2017-10-11
3179,2017-10-11
3180,2017-10-11
3181,2017-10-11
3182,2017-10-11
3183,2017-10-11
3184,2017-10-11
3185,2017-10-11
3186,2017-10-11
3187,2017-10-11
3188,2017-10-11
3189,2017-10-11
3190,2017-10-11
3191,2017-10-11
3257,2017-10-11
3258,2017-10-11
3259,2017-10-11
3260,2017-10-11
3261,2017-10-11
3262,2017-10-11
3263,2017-10-11
3264,2017-10-11
3265,2017-10-11
3266,2017-10-11
3267,2017-10-11
3268,2017-10-11
3269,2017-10-11
3270,2017-10-11
3271,2017-10-11
3272,2017-10-11
3338,2017-10-11
3339,2017-10-11
3340,2017-10-11
3341,2017-10-11
3342,2017-10-11
3343,2017-10-11
3344,2017-10-11
3345,2017-10-11
3346,2017-10-11
3347,2017-10-11
3348,2017-10-11
3349,2017-10-11
3350,2017-10-11
3351,2017-10-11
3352,2017-10-11
3353,2017-10-11
3418,2017-10-11
3419,2017-10-11
3420,2017-10-11
3421,2017-10-11
3422,2017-10-11
3423,2017-10-11
3424,2017-10-11
3425,2017-10-11
3426,2017-10-11
3427,2017-10-11
3428,2017-10-11
3429,2017-10-11
3430,2017-10-11
3431,2017-10-11
3432,2017-10-11
3433,2017-10-11
3499,2017-10-11
3500,2017-10-11
3501,2017-10-11
3502,2017-10-11
3503,2017-10-11
3504,2017-10-11
3505,2017-10-11
3506,2017-10-11
3507,2017-10-11
3508,2017-10-11
3509,2017-10-11
3510,2017-10-11
3511,2017-10-11
3512,2017-10-11
3513,2017-10-11
3514,2017-10-11
3580,2017-10-11
3581,2017-10-11
3582,2017-10-11
3583,2017-10-11
3584,2017-10-11
3585,2017-10-11
3586,2017-10-11
3587,2017-10-11
3588,2017-10-11
3589,2017-10-11
3590,2017-10-11
3591,2017-10-11
3592,2017-10-11
3593,2017-10-11
3594,2017-10-11
3595,2017-10-11
3661,2017-10-11
3662,2017-10-11
3663,2017-10-11
3664,2017-10-11
3665,2017-10-11
3666,2017-10-11
3667,2017-10-11
3668,2017-10-11
3669,2017-10-11
3670,2017-10-11
3671,2017-10-11
3672,2017-10-11
3673,2017-10-11
3674,2017-10-11
3675,2017-10-11
3676,2017-10-11
3742,2017-10-11
3743,2017-10-11
3744,2017-10-11
3745,2017-10-11
3746,2017-10-11
3747,2017-10-11
3748,2017-10-11
3749,2017-10-11
3750,2017-10-11
3751,2017-10-11
3752,2017-10-11
3753,2017-10-11
3754,2017-10-11
3755,2017-10-11
3756,2017-10-11
3757,2017-10-11
3823,2017-10-11
3824,2017-10-11
3825,2017-10-11
3826,2017-10-11
3827,2017-10-11
3828,2017-10-11
3829,2017-10-11
3830,2017-10-11
3831,2017-10-11
3832,2017-10-11
3833,2017-10-11
3834,2017-10-11
3835,2017-10-11
3836,2017-10-11
3837,2017-10-11
3838,2017-10-11
3903,2017-10-11
3904,2017-10-11
3905,2017-10-11
3906,2017-10-11
