,date
1380,2017-09-04
1381,2017-09-04
1382,2017-09-04
1383,2017-09-04
1384,2017-09-04
1385,2017-09-04
1386,2017-09-04
1387,2017-09-04
1388,2017-09-04
1389,2017-09-04
1390,2017-09-04
1391,2017-09-04
1392,2017-09-04
1393,2017-09-04
1394,2017-09-04
1456,2017-09-04
1457,2017-09-04
1458,2017-09-04
1459,2017-09-04
1460,2017-09-04
1461,2017-09-04
1462,2017-09-04
1463,2017-09-04
1464,2017-09-04
1465,2017-09-04
1466,2017-09-04
1467,2017-09-04
1468,2017-09-04
1469,2017-09-04
1470,2017-09-04
1471,2017-09-04
1472,2017-09-04
1473,2017-09-04
1474,2017-09-04
1475,2017-09-04
1537,2017-09-04
1538,2017-09-04
1539,2017-09-04
1540,2017-09-04
1541,2017-09-04
1542,2017-09-04
1543,2017-09-04
1544,2017-09-04
1545,2017-09-04
1546,2017-09-04
1547,2017-09-04
1548,2017-09-04
1549,2017-09-04
1550,2017-09-04
1551,2017-09-04
1552,2017-09-04
1553,2017-09-04
1554,2017-09-04
1555,2017-09-04
1556,2017-09-04
1618,2017-09-04
1619,2017-09-04
1620,2017-09-04
1621,2017-09-04
1622,2017-09-04
1623,2017-09-04
1624,2017-09-04
1625,2017-09-04
1626,2017-09-04
1627,2017-09-04
1628,2017-09-04
1629,2017-09-04
1630,2017-09-04
1631,2017-09-04
1632,2017-09-04
1633,2017-09-04
1634,2017-09-04
1635,2017-09-04
1636,2017-09-04
1637,2017-09-04
1699,2017-09-04
1700,2017-09-04
1701,2017-09-04
1702,2017-09-04
1703,2017-09-04
1704,2017-09-04
1705,2017-09-04
1706,2017-09-04
1707,2017-09-04
1708,2017-09-04
1709,2017-09-04
1710,2017-09-04
1711,2017-09-04
1712,2017-09-04
1713,2017-09-04
1714,2017-09-04
1715,2017-09-04
1716,2017-09-04
1717,2017-09-04
1718,2017-09-04
1779,2017-09-04
1780,2017-09-04
1781,2017-09-04
1782,2017-09-04
1783,2017-09-04
1784,2017-09-04
1785,2017-09-04
1786,2017-09-04
1787,2017-09-04
1788,2017-09-04
1789,2017-09-04
1790,2017-09-04
1791,2017-09-04
1792,2017-09-04
1793,2017-09-04
1794,2017-09-04
1795,2017-09-04
1796,2017-09-04
1797,2017-09-04
1798,2017-09-04
1860,2017-09-04
1861,2017-09-04
1862,2017-09-04
1863,2017-09-04
1864,2017-09-04
1865,2017-09-04
1866,2017-09-04
1867,2017-09-04
1868,2017-09-04
1869,2017-09-04
1870,2017-09-04
1871,2017-09-04
1872,2017-09-04
1873,2017-09-04
1874,2017-09-04
1875,2017-09-04
1876,2017-09-04
1877,2017-09-04
1878,2017-09-04
1879,2017-09-04
1941,2017-09-04
1942,2017-09-04
1943,2017-09-04
1944,2017-09-04
1945,2017-09-04
1946,2017-09-04
1947,2017-09-04
1948,2017-09-04
1949,2017-09-04
1950,2017-09-04
1951,2017-09-04
1952,2017-09-04
1953,2017-09-04
1954,2017-09-04
1955,2017-09-04
1956,2017-09-04
1957,2017-09-04
1958,2017-09-04
1959,2017-09-04
1960,2017-09-04
2022,2017-09-04
2023,2017-09-04
2024,2017-09-04
2025,2017-09-04
2026,2017-09-04
2027,2017-09-04
2028,2017-09-04
2029,2017-09-04
2030,2017-09-04
2031,2017-09-04
2032,2017-09-04
2033,2017-09-04
2034,2017-09-04
2035,2017-09-04
2036,2017-09-04
2037,2017-09-04
2038,2017-09-04
2039,2017-09-04
2040,2017-09-04
2041,2017-09-04
2103,2017-09-04
2104,2017-09-04
2105,2017-09-04
2106,2017-09-04
2107,2017-09-04
2108,2017-09-04
2109,2017-09-04
2110,2017-09-04
2111,2017-09-04
2112,2017-09-04
2113,2017-09-04
2114,2017-09-04
2115,2017-09-04
2116,2017-09-04
2117,2017-09-04
2118,2017-09-04
2119,2017-09-04
2120,2017-09-04
2121,2017-09-04
2122,2017-09-04
2184,2017-09-04
2185,2017-09-04
2186,2017-09-04
2187,2017-09-04
2188,2017-09-04
2189,2017-09-04
2190,2017-09-04
2191,2017-09-04
2192,2017-09-04
2193,2017-09-04
2194,2017-09-04
2195,2017-09-04
2196,2017-09-04
2197,2017-09-04
2198,2017-09-04
2199,2017-09-04
2200,2017-09-04
2201,2017-09-04
2202,2017-09-04
2203,2017-09-04
2265,2017-09-04
2266,2017-09-04
2267,2017-09-04
2268,2017-09-04
2269,2017-09-04
2270,2017-09-04
2271,2017-09-04
2272,2017-09-04
2273,2017-09-04
2274,2017-09-04
2275,2017-09-04
2276,2017-09-04
2277,2017-09-04
2278,2017-09-04
2279,2017-09-04
2280,2017-09-04
2281,2017-09-04
2282,2017-09-04
2283,2017-09-04
2284,2017-09-04
2346,2017-09-04
2347,2017-09-04
2348,2017-09-04
2349,2017-09-04
2350,2017-09-04
2351,2017-09-04
2352,2017-09-04
2353,2017-09-04
2354,2017-09-04
2355,2017-09-04
2356,2017-09-04
2357,2017-09-04
2358,2017-09-04
2359,2017-09-04
2360,2017-09-04
2361,2017-09-04
2362,2017-09-04
2363,2017-09-04
2364,2017-09-04
2365,2017-09-04
2427,2017-09-05
2428,2017-09-05
2429,2017-09-05
2430,2017-09-05
2431,2017-09-05
2432,2017-09-05
2433,2017-09-05
2434,2017-09-05
2435,2017-09-05
2436,2017-09-05
2437,2017-09-05
2438,2017-09-05
2439,2017-09-05
2440,2017-09-05
2441,2017-09-05
2442,2017-09-05
2443,2017-09-05
2444,2017-09-05
2445,2017-09-05
2446,2017-09-05
2508,2017-09-05
2509,2017-09-05
2510,2017-09-05
2511,2017-09-05
2512,2017-09-05
2513,2017-09-05
2514,2017-09-05
2515,2017-09-05
2516,2017-09-05
2517,2017-09-05
2518,2017-09-05
2519,2017-09-05
2520,2017-09-05
2521,2017-09-05
2522,2017-09-05
2523,2017-09-05
2524,2017-09-05
2525,2017-09-05
2526,2017-09-05
2527,2017-09-05
2589,2017-09-05
2590,2017-09-05
2591,2017-09-05
2592,2017-09-05
2593,2017-09-05
2594,2017-09-05
2595,2017-09-05
2596,2017-09-05
2597,2017-09-05
2598,2017-09-05
2599,2017-09-05
2600,2017-09-05
2601,2017-09-05
2602,2017-09-05
2603,2017-09-05
2604,2017-09-05
2605,2017-09-05
2606,2017-09-05
2607,2017-09-05
2608,2017-09-05
2669,2017-09-05
2670,2017-09-05
2671,2017-09-05
2672,2017-09-05
2673,2017-09-05
2674,2017-09-05
2675,2017-09-05
2676,2017-09-05
2677,2017-09-05
2678,2017-09-05
2679,2017-09-05
2680,2017-09-05
2681,2017-09-05
2682,2017-09-05
2683,2017-09-05
2684,2017-09-05
2685,2017-09-05
2686,2017-09-05
2687,2017-09-05
2688,2017-09-05
2750,2017-09-05
2751,2017-09-05
2752,2017-09-05
2753,2017-09-05
2754,2017-09-05
2755,2017-09-05
2756,2017-09-05
2757,2017-09-05
2758,2017-09-05
2759,2017-09-05
2760,2017-09-05
2761,2017-09-05
2762,2017-09-05
2763,2017-09-05
2764,2017-09-05
2765,2017-09-05
2766,2017-09-05
2767,2017-09-05
2768,2017-09-05
2769,2017-09-05
2831,2017-09-05
2832,2017-09-05
2833,2017-09-05
2834,2017-09-05
2835,2017-09-05
2836,2017-09-05
2837,2017-09-05
2838,2017-09-05
2839,2017-09-05
2840,2017-09-05
2841,2017-09-05
2842,2017-09-05
2843,2017-09-05
2844,2017-09-05
2845,2017-09-05
2846,2017-09-05
2847,2017-09-05
2848,2017-09-05
2849,2017-09-05
2850,2017-09-05
2912,2017-09-05
2913,2017-09-05
2914,2017-09-05
2915,2017-09-05
2916,2017-09-05
2917,2017-09-05
2918,2017-09-05
2919,2017-09-05
2920,2017-09-05
2921,2017-09-05
2922,2017-09-05
2923,2017-09-05
2924,2017-09-05
2925,2017-09-05
2926,2017-09-05
2927,2017-09-05
2928,2017-09-05
2929,2017-09-05
2930,2017-09-05
2931,2017-09-05
2993,2017-09-05
2994,2017-09-05
2995,2017-09-05
2996,2017-09-05
2997,2017-09-05
2998,2017-09-05
2999,2017-09-05
3000,2017-09-05
3001,2017-09-05
3002,2017-09-05
3003,2017-09-05
3004,2017-09-05
3005,2017-09-05
3006,2017-09-05
3007,2017-09-05
3008,2017-09-05
3009,2017-09-05
3010,2017-09-05
3011,2017-09-05
3012,2017-09-05
3074,2017-09-05
3075,2017-09-05
3076,2017-09-05
3077,2017-09-05
3078,2017-09-05
3079,2017-09-05
3080,2017-09-05
3081,2017-09-05
3082,2017-09-05
3083,2017-09-05
3084,2017-09-05
3085,2017-09-05
3086,2017-09-05
3087,2017-09-05
3088,2017-09-05
3089,2017-09-05
3090,2017-09-05
3091,2017-09-05
3092,2017-09-05
3093,2017-09-05
3155,2017-09-05
3156,2017-09-05
3157,2017-09-05
3158,2017-09-05
3159,2017-09-05
3160,2017-09-05
3161,2017-09-05
3162,2017-09-05
3163,2017-09-05
3164,2017-09-05
3165,2017-09-05
3166,2017-09-05
3167,2017-09-05
3168,2017-09-05
3169,2017-09-05
3170,2017-09-05
3171,2017-09-05
3172,2017-09-05
3173,2017-09-05
3174,2017-09-05
3236,2017-09-05
3237,2017-09-05
3238,2017-09-05
3239,2017-09-05
3240,2017-09-05
3241,2017-09-05
3242,2017-09-05
3243,2017-09-05
3244,2017-09-05
3245,2017-09-05
3246,2017-09-05
3247,2017-09-05
3248,2017-09-05
3249,2017-09-05
3250,2017-09-05
3251,2017-09-05
3252,2017-09-05
3253,2017-09-05
3254,2017-09-05
3255,2017-09-05
3317,2017-09-05
3318,2017-09-05
3319,2017-09-05
3320,2017-09-05
3321,2017-09-05
3322,2017-09-05
3323,2017-09-05
3324,2017-09-05
3325,2017-09-05
3326,2017-09-05
3327,2017-09-05
3328,2017-09-05
3329,2017-09-05
3330,2017-09-05
3331,2017-09-05
3332,2017-09-05
3333,2017-09-05
3334,2017-09-05
3335,2017-09-05
3336,2017-09-05
3397,2017-09-05
3398,2017-09-05
3399,2017-09-05
3400,2017-09-05
3401,2017-09-05
3402,2017-09-05
3403,2017-09-05
3404,2017-09-05
3405,2017-09-05
3406,2017-09-05
3407,2017-09-05
3408,2017-09-05
3409,2017-09-05
3410,2017-09-05
3411,2017-09-05
3412,2017-09-05
3413,2017-09-05
3414,2017-09-05
3415,2017-09-05
3416,2017-09-05
3478,2017-09-05
3479,2017-09-05
3480,2017-09-05
3481,2017-09-05
3482,2017-09-05
3483,2017-09-05
3484,2017-09-05
3485,2017-09-05
3486,2017-09-05
3487,2017-09-05
3488,2017-09-05
3489,2017-09-05
3490,2017-09-05
3491,2017-09-05
3492,2017-09-05
3493,2017-09-05
3494,2017-09-05
3495,2017-09-05
3496,2017-09-05
3497,2017-09-05
3559,2017-09-05
3560,2017-09-05
3561,2017-09-05
3562,2017-09-05
3563,2017-09-05
3564,2017-09-05
3565,2017-09-05
3566,2017-09-05
3567,2017-09-05
3568,2017-09-05
3569,2017-09-05
