,date,stock_code,stock_yield
30,2017-10-20,000002.SZ,0.4222648752399083
31,2017-10-23,000002.SZ,-0.8792048929663676
32,2017-10-24,000002.SZ,4.126494408021597
33,2017-10-25,000002.SZ,1.59259259259259
34,2017-10-26,000002.SZ,0.36456434560701023
35,2017-10-27,000002.SZ,-0.10897203051217774
36,2017-10-30,000002.SZ,5.3818181818181765
37,2017-10-31,000002.SZ,-0.06901311249136732
38,2017-11-01,000002.SZ,0.6560773480662974
39,2017-11-02,000002.SZ,1.0291595197255532
40,2017-11-03,000002.SZ,-4.278438030560261
41,2017-11-06,000002.SZ,-2.589570769776517
42,2017-11-07,000002.SZ,1.4202476329206126
43,2017-11-08,000002.SZ,-0.754039497307013
44,2017-11-09,000002.SZ,0.10853835021706892
45,2017-11-10,000002.SZ,-0.5782435851102274
46,2017-11-13,000002.SZ,-1.6357688113413316
47,2017-11-14,000002.SZ,5.3215077605321515
48,2017-11-15,000002.SZ,-0.21052631578947212
49,2017-11-16,000002.SZ,1.7580872011251802
50,2017-11-17,000002.SZ,-0.13821700069108767
51,2017-11-20,000002.SZ,0.0
52,2017-11-21,000002.SZ,9.999999999999986
53,2017-11-22,000002.SZ,2.2334067316766237
54,2017-11-23,000002.SZ,-3.6923076923076836
55,2017-11-24,000002.SZ,1.5974440894568565
56,2017-11-27,000002.SZ,-0.880503144654099
57,2017-11-28,000002.SZ,-2.4428934010152115
58,2017-11-29,000002.SZ,9.983739837398353
59,2017-11-30,000002.SZ,-7.687758722649319
60,2017-12-01,000002.SZ,-1.5695067264573925
61,2017-12-04,000002.SZ,0.3904978848031204
62,2017-12-05,000002.SZ,0.5834683954619058
63,2017-12-06,000002.SZ,-0.8378988076055416
64,2017-12-07,000002.SZ,-2.664933376665579
65,2017-12-08,000002.SZ,-0.43405676126878623
66,2017-12-11,000002.SZ,0.36887994634473564
67,2017-12-12,000002.SZ,-1.202806548613422
68,2017-12-13,000002.SZ,1.2512681772066436
69,2017-12-14,000002.SZ,0.5678022712090725
70,2017-12-15,000002.SZ,-3.3211557622052523
71,2017-12-18,000002.SZ,-2.2329096530401937
72,2017-12-19,000002.SZ,2.4595924104005684
73,2017-12-20,000002.SZ,-1.9204389574759895
74,2017-12-21,000002.SZ,3.9160839160839123
75,2017-12-22,000002.SZ,0.4374158815612539
76,2017-12-25,000002.SZ,1.7420435510887788
77,2017-12-26,000002.SZ,0.4280540006585509
78,2017-12-27,000002.SZ,0.9508196721311313
79,2017-12-28,000002.SZ,-0.2923026956804242
80,2017-12-29,000002.SZ,1.1726384364820985
0,2017-09-01,000008.SZ,-0.992555831265518
1,2017-09-04,000008.SZ,0.8771929824561431
2,2017-09-05,000008.SZ,2.608695652173898
3,2017-09-06,000008.SZ,-1.2106537530266248
4,2017-09-07,000008.SZ,0.8578431372549211
5,2017-09-08,000008.SZ,1.5795868772782162
6,2017-09-11,000008.SZ,0.837320574162681
7,2017-09-12,000008.SZ,-0.47449584816130486
8,2017-09-13,000008.SZ,-0.8343265792610355
9,2017-09-14,000008.SZ,1.6826923076923128
10,2017-09-15,000008.SZ,5.79196217494089
11,2017-09-18,000008.SZ,0.0
12,2017-09-19,000008.SZ,3.463687150838002
13,2017-09-20,000008.SZ,-0.6479481641468832
14,2017-09-21,000008.SZ,-0.6521739130434634
15,2017-09-22,000008.SZ,-0.4376367614879806
16,2017-09-25,000008.SZ,-1.978021978021982
17,2017-09-26,000008.SZ,-2.0179372197309475
18,2017-09-27,000008.SZ,-1.3729977116704872
19,2017-09-28,000008.SZ,0.0
20,2017-09-29,000008.SZ,4.756380510440827
21,2017-10-09,000008.SZ,0.8859357696566983
22,2017-10-10,000008.SZ,0.658616904500553
23,2017-10-11,000008.SZ,-1.3086150490730586
24,2017-10-12,000008.SZ,0.7734806629834168
25,2017-10-13,000008.SZ,-1.3157894736842035
26,2017-10-16,000008.SZ,2.2222222222222143
27,2017-10-17,000008.SZ,-0.10869565217390686
28,2017-10-18,000008.SZ,0.32644178454843686
29,2017-10-19,000008.SZ,-1.8438177874186557
30,2017-10-20,000008.SZ,-1.2154696132596787
31,2017-10-23,000008.SZ,-0.7829977628635465
32,2017-10-24,000008.SZ,0.11273957158963732
33,2017-10-25,000008.SZ,0.45045045045044585
34,2017-10-26,000008.SZ,6.0538116591928315
35,2017-10-27,000008.SZ,-2.4312896405919715
36,2017-10-30,000008.SZ,0.6500541711809138
37,2017-10-31,000008.SZ,-1.1840688912809427
38,2017-11-01,000008.SZ,-0.21786492374727962
39,2017-11-02,000008.SZ,0.10917030567685337
40,2017-11-03,000008.SZ,0.7633587786259666
41,2017-11-06,000008.SZ,-0.5411255411255533
42,2017-11-07,000008.SZ,-0.8705114254624502
43,2017-11-08,000008.SZ,-1.6465422612513603
44,2017-11-09,000008.SZ,-0.5580357142857206
45,2017-11-10,000008.SZ,1.122334455667784
46,2017-11-13,000008.SZ,-1.1098779134295134
47,2017-11-14,000008.SZ,0.22446689113355678
48,2017-11-15,000008.SZ,1.5677491601343796
49,2017-11-16,000008.SZ,-1.1025358324145418
50,2017-11-17,000008.SZ,-1.4492753623188581
51,2017-11-20,000008.SZ,0.6787330316742279
52,2017-11-21,000008.SZ,-0.5617977528090012
53,2017-11-22,000008.SZ,0.3389830508474745
54,2017-11-23,000008.SZ,-0.45045045045045695
55,2017-11-24,000008.SZ,-3.054298642533926
56,2017-11-27,000008.SZ,-3.3838973162193753
57,2017-11-28,000008.SZ,0.7246376811594235
58,2017-11-29,000008.SZ,0.11990407673860837
59,2017-11-30,000008.SZ,1.556886227544907
60,2017-12-01,000008.SZ,1.297169811320753
61,2017-12-04,000008.SZ,-0.6984866123399436
62,2017-12-05,000008.SZ,0.11723329425556983
63,2017-12-06,000008.SZ,-0.4683840749414303
64,2017-12-07,000008.SZ,-2.352941176470591
65,2017-12-08,000008.SZ,1.8072289156626287
66,2017-12-11,000008.SZ,1.775147928994092
67,2017-12-12,000008.SZ,-2.5581395348837077
68,2017-12-13,000008.SZ,-0.9546539379475028
69,2017-12-14,000008.SZ,0.12048192771083599
70,2017-12-15,000008.SZ,0.3610108303249149
71,2017-12-18,000008.SZ,0.9592326139088669
72,2017-12-19,000008.SZ,1.068883610451321
73,2017-12-20,000008.SZ,0.11750881316097139
74,2017-12-21,000008.SZ,-0.5868544600938774
75,2017-12-22,000008.SZ,0.47225501770955525
76,2017-12-25,000008.SZ,0.11750881316097139
