,date,stock_code,stock_name,stock_weight,stock_industry,stock_yield
254,2017-09-01,000009.SZ,中国宝安,0.1698,综合,0.11655011655011815
255,2017-09-01,000009.SZ,中国宝安,0.1698,综合,0.11655011655011815
256,2017-09-01,000009.SZ,中国宝安,0.1698,综合,0.11655011655011815
257,2017-09-01,000009.SZ,中国宝安,0.1698,综合,0.11655011655011815
258,2017-09-01,000009.SZ,中国宝安,0.1698,综合,0.11655011655011815
259,2017-09-01,000009.SZ,中国宝安,0.1698,综合,0.11655011655011815
260,2017-09-01,000009.SZ,中国宝安,0.1698,综合,0.11655011655011815
261,2017-09-01,000009.SZ,中国宝安,0.1698,综合,0.11655011655011815
262,2017-09-01,000009.SZ,中国宝安,0.1698,综合,0.11655011655011815
323,2017-09-01,000060.SZ,中金岭南,0.2013,有色金属,0.9992313604919589
324,2017-09-01,000060.SZ,中金岭南,0.2013,有色金属,0.9992313604919589
325,2017-09-01,000060.SZ,中金岭南,0.2013,有色金属,0.9992313604919589
326,2017-09-01,000060.SZ,中金岭南,0.2013,有色金属,0.9992313604919589
327,2017-09-01,000060.SZ,中金岭南,0.2013,有色金属,0.9992313604919589
328,2017-09-01,000060.SZ,中金岭南,0.2013,有色金属,0.9992313604919589
329,2017-09-01,000060.SZ,中金岭南,0.2013,有色金属,0.9992313604919589
330,2017-09-01,000060.SZ,中金岭南,0.2013,有色金属,0.9992313604919589
331,2017-09-01,000060.SZ,中金岭南,0.2013,有色金属,0.9992313604919589
332,2017-09-01,000060.SZ,中金岭南,0.2013,有色金属,0.9992313604919589
333,2017-09-01,000060.SZ,中金岭南,0.2013,有色金属,0.9992313604919589
334,2017-09-01,000060.SZ,中金岭南,0.2013,有色金属,0.9992313604919589
335,2017-09-01,000060.SZ,中金岭南,0.2013,有色金属,0.9992313604919589
336,2017-09-01,000060.SZ,中金岭南,0.2013,有色金属,0.9992313604919589
337,2017-09-01,000060.SZ,中金岭南,0.2013,有色金属,0.9992313604919589
338,2017-09-01,000060.SZ,中金岭南,0.2013,有色金属,0.9992313604919589
339,2017-09-01,000060.SZ,中金岭南,0.2013,有色金属,0.9992313604919589
340,2017-09-01,000060.SZ,中金岭南,0.2013,有色金属,0.9992313604919589
341,2017-09-01,000060.SZ,中金岭南,0.2013,有色金属,0.9992313604919589
342,2017-09-01,000060.SZ,中金岭南,0.2013,有色金属,0.9992313604919589
404,2017-09-01,000063.SZ,中兴通讯,0.5182,通信,-0.7544006705783701
405,2017-09-01,000063.SZ,中兴通讯,0.5182,通信,-0.7544006705783701
406,2017-09-01,000063.SZ,中兴通讯,0.5182,通信,-0.7544006705783701
407,2017-09-01,000063.SZ,中兴通讯,0.5182,通信,-0.7544006705783701
408,2017-09-01,000063.SZ,中兴通讯,0.5182,通信,-0.7544006705783701
409,2017-09-01,000063.SZ,中兴通讯,0.5182,通信,-0.7544006705783701
410,2017-09-01,000063.SZ,中兴通讯,0.5182,通信,-0.7544006705783701
411,2017-09-01,000063.SZ,中兴通讯,0.5182,通信,-0.7544006705783701
412,2017-09-01,000063.SZ,中兴通讯,0.5182,通信,-0.7544006705783701
413,2017-09-01,000063.SZ,中兴通讯,0.5182,通信,-0.7544006705783701
414,2017-09-01,000063.SZ,中兴通讯,0.5182,通信,-0.7544006705783701
415,2017-09-01,000063.SZ,中兴通讯,0.5182,通信,-0.7544006705783701
416,2017-09-01,000063.SZ,中兴通讯,0.5182,通信,-0.7544006705783701
417,2017-09-01,000063.SZ,中兴通讯,0.5182,通信,-0.7544006705783701
418,2017-09-01,000063.SZ,中兴通讯,0.5182,通信,-0.7544006705783701
419,2017-09-01,000063.SZ,中兴通讯,0.5182,通信,-0.7544006705783701
420,2017-09-01,000063.SZ,中兴通讯,0.5182,通信,-0.7544006705783701
421,2017-09-01,000063.SZ,中兴通讯,0.5182,通信,-0.7544006705783701
422,2017-09-01,000063.SZ,中兴通讯,0.5182,通信,-0.7544006705783701
423,2017-09-01,000063.SZ,中兴通讯,0.5182,通信,-0.7544006705783701
485,2017-09-01,000069.SZ,华侨城A,0.2623,房地产,-0.11494252873562871
486,2017-09-01,000069.SZ,华侨城A,0.2623,房地产,-0.11494252873562871
487,2017-09-01,000069.SZ,华侨城A,0.2623,房地产,-0.11494252873562871
488,2017-09-01,000069.SZ,华侨城A,0.2623,房地产,-0.11494252873562871
489,2017-09-01,000069.SZ,华侨城A,0.2623,房地产,-0.11494252873562871
490,2017-09-01,000069.SZ,华侨城A,0.2623,房地产,-0.11494252873562871
491,2017-09-01,000069.SZ,华侨城A,0.2623,房地产,-0.11494252873562871
492,2017-09-01,000069.SZ,华侨城A,0.2623,房地产,-0.11494252873562871
493,2017-09-01,000069.SZ,华侨城A,0.2623,房地产,-0.11494252873562871
494,2017-09-01,000069.SZ,华侨城A,0.2623,房地产,-0.11494252873562871
495,2017-09-01,000069.SZ,华侨城A,0.2623,房地产,-0.11494252873562871
496,2017-09-01,000069.SZ,华侨城A,0.2623,房地产,-0.11494252873562871
497,2017-09-01,000069.SZ,华侨城A,0.2623,房地产,-0.11494252873562871
498,2017-09-01,000069.SZ,华侨城A,0.2623,房地产,-0.11494252873562871
499,2017-09-01,000069.SZ,华侨城A,0.2623,房地产,-0.11494252873562871
500,2017-09-01,000069.SZ,华侨城A,0.2623,房地产,-0.11494252873562871
501,2017-09-01,000069.SZ,华侨城A,0.2623,房地产,-0.11494252873562871
502,2017-09-01,000069.SZ,华侨城A,0.2623,房地产,-0.11494252873562871
503,2017-09-01,000069.SZ,华侨城A,0.2623,房地产,-0.11494252873562871
504,2017-09-01,000069.SZ,华侨城A,0.2623,房地产,-0.11494252873562871
566,2017-09-01,000100.SZ,TCL集团,0.242,家用电器,0.5602240896358524
567,2017-09-01,000100.SZ,TCL集团,0.242,家用电器,0.5602240896358524
568,2017-09-01,000100.SZ,TCL集团,0.242,家用电器,0.5602240896358524
569,2017-09-01,000100.SZ,TCL集团,0.242,家用电器,0.5602240896358524
570,2017-09-01,000100.SZ,TCL集团,0.242,家用电器,0.5602240896358524
571,2017-09-01,000100.SZ,TCL集团,0.242,家用电器,0.5602240896358524
572,2017-09-01,000100.SZ,TCL集团,0.242,家用电器,0.5602240896358524
573,2017-09-01,000100.SZ,TCL集团,0.242,家用电器,0.5602240896358524
574,2017-09-01,000100.SZ,TCL集团,0.242,家用电器,0.5602240896358524
575,2017-09-01,000100.SZ,TCL集团,0.242,家用电器,0.5602240896358524
576,2017-09-01,000100.SZ,TCL集团,0.242,家用电器,0.5602240896358524
577,2017-09-01,000100.SZ,TCL集团,0.242,家用电器,0.5602240896358524
578,2017-09-01,000100.SZ,TCL集团,0.242,家用电器,0.5602240896358524
579,2017-09-01,000100.SZ,TCL集团,0.242,家用电器,0.5602240896358524
580,2017-09-01,000100.SZ,TCL集团,0.242,家用电器,0.5602240896358524
581,2017-09-01,000100.SZ,TCL集团,0.242,家用电器,0.5602240896358524
582,2017-09-01,000100.SZ,TCL集团,0.242,家用电器,0.5602240896358524
583,2017-09-01,000100.SZ,TCL集团,0.242,家用电器,0.5602240896358524
584,2017-09-01,000100.SZ,TCL集团,0.242,家用电器,0.5602240896358524
585,2017-09-01,000100.SZ,TCL集团,0.242,家用电器,0.5602240896358524
647,2017-09-01,000156.SZ,华数传媒,0.0788,传媒,-0.5326231691078598
648,2017-09-01,000156.SZ,华数传媒,0.0788,传媒,-0.5326231691078598
649,2017-09-01,000156.SZ,华数传媒,0.0788,传媒,-0.5326231691078598
650,2017-09-01,000156.SZ,华数传媒,0.0788,传媒,-0.5326231691078598
651,2017-09-01,000156.SZ,华数传媒,0.0788,传媒,-0.5326231691078598
652,2017-09-01,000156.SZ,华数传媒,0.0788,传媒,-0.5326231691078598
653,2017-09-01,000156.SZ,华数传媒,0.0788,传媒,-0.5326231691078598
654,2017-09-01,000156.SZ,华数传媒,0.0788,传媒,-0.5326231691078598
655,2017-09-01,000156.SZ,华数传媒,0.0788,传媒,-0.5326231691078598
656,2017-09-01,000156.SZ,华数传媒,0.0788,传媒,-0.5326231691078598
657,2017-09-01,000156.SZ,华数传媒,0.0788,传媒,-0.5326231691078598
658,2017-09-01,000156.SZ,华数传媒,0.0788,传媒,-0.5326231691078598
659,2017-09-01,000156.SZ,华数传媒,0.0788,传媒,-0.5326231691078598
660,2017-09-01,000156.SZ,华数传媒,0.0788,传媒,-0.5326231691078598
661,2017-09-01,000156.SZ,华数传媒,0.0788,传媒,-0.5326231691078598
662,2017-09-01,000156.SZ,华数传媒,0.0788,传媒,-0.5326231691078598
663,2017-09-01,000156.SZ,华数传媒,0.0788,传媒,-0.5326231691078598
664,2017-09-01,000156.SZ,华数传媒,0.0788,传媒,-0.5326231691078598
665,2017-09-01,000156.SZ,华数传媒,0.0788,传媒,-0.5326231691078598
666,2017-09-01,000156.SZ,华数传媒,0.0788,传媒,-0.5326231691078598
727,2017-09-01,000157.SZ,中联重科,0.1863,机械设备,0.43572984749455923
728,2017-09-01,000157.SZ,中联重科,0.1863,机械设备,0.43572984749455923
729,2017-09-01,000157.SZ,中联重科,0.1863,机械设备,0.43572984749455923
730,2017-09-01,000157.SZ,中联重科,0.1863,机械设备,0.43572984749455923
